9989;W78.9; Local NE;Inalação do conteúdo gástrico - local não especificado
10267;X12.7; Fazenda;Contato com outros líquidos quentes - fazenda
10268;X12.8; Outr locais espec;Contato com outros líquidos quentes - outros locais especificados
10269;X12.9; Local NE;Contato com outros líquidos quentes - local não especificado
10270;X13.0; Residencia;Contato com vapor d'água e com vapores quentes - residência
10271;X13.1; Habitacao coletiva;Contato com vapor d'água e com vapores quentes - habitação coletiva
10272;X13.2; Escolas outr instit areas admin publica;Contato com vapor d'água e com vapores quentes - escolas, outras instituições e áreas de administração pública
10273;X13.3; Area p/a pratica de esportes e atletismo;Contato com vapor d'água e com vapores quentes - área para a prática de esportes e atletismo
10274;X13.4; Rua e estrada;Contato com vapor d'água e com vapores quentes - rua e estrada
10275;X13.5; Areas de comercio e de servicos;Contato com vapor d'água e com vapores quentes - áreas de comércio e de serviços
10276;X13.6; Areas industriais e em construcao;Contato com vapor d'água e com vapores quentes - áreas industriais e em construção
10277;X13.7; Fazenda;Contato com vapor d'água e com vapores quentes - fazenda
10278;X13.8; Outr locais espec;Contato com vapor d'água e com vapores quentes - outros locais especificados
10279;X13.9; Local NE;Contato com vapor d'água e com vapores quentes - local não especificado
10280;X14.0; Residencia;Contato com ar e gases quentes - residência
10281;X14.1; Habitacao coletiva;Contato com ar e gases quentes - habitação coletiva
10282;X14.2; Escolas outr instit areas admin publica;Contato com ar e gases quentes - escolas, outras instituições e áreas de administração pública
10283;X14.3; Area p/a pratica de esportes e atletismo;Contato com ar e gases quentes - área para a prática de esportes e atletismo
10284;X14.4; Rua e estrada;Contato com ar e gases quentes - rua e estrada
10285;X14.5; Areas de comercio e de servicos;Contato com ar e gases quentes - áreas de comércio e de serviços
10286;X14.6; Areas industriais e em construcao;Contato com ar e gases quentes - áreas industriais e em construção
10287;X14.7; Fazenda;Contato com ar e gases quentes - fazenda
10288;X14.8; Outr locais espec;Contato com ar e gases quentes - outros locais especificados
10289;X14.9; Local NE;Contato com ar e gases quentes - local não especificado
10290;X15.0; Residencia;Contato com aparelhos domésticos quentes - residência
10291;X15.1; Habitacao coletiva;Contato com aparelhos domésticos quentes - habitação coletiva
10292;X15.2; Escolas outr instit areas admin publica;Contato com aparelhos domésticos quentes - escolas, outras instituições e áreas de administração pública
10293;X15.3; Area p/a pratica de esportes e atletismo;Contato com aparelhos domésticos quentes - área para a prática de esportes e atletismo
10294;X15.4; Rua e estrada;Contato com aparelhos domésticos quentes - rua e estrada
10295;X15.5; Areas de comercio e de servicos;Contato com aparelhos domésticos quentes - áreas de comércio e de serviços
10296;X15.6; Areas industriais e em construcao;Contato com aparelhos domésticos quentes - áreas industriais e em construção
10297;X15.7; Fazenda;Contato com aparelhos domésticos quentes - fazenda
10298;X15.8; Outr locais espec;Contato com aparelhos domésticos quentes - outros locais especificados
10299;X15.9; Local NE;Contato com aparelhos domésticos quentes - local não especificado
10300;X16.0; Residencia;Contato com aquecedores, radiadores e tubulação - residência
10301;X16.1; Habitacao coletiva;Contato com aquecedores, radiadores e tubulação - habitação coletiva
10302;X16.2; Escolas outr instit areas admin publica;Contato com aquecedores, radiadores e tubulação - escolas, outras instituições e áreas de administração pública
10303;X16.3; Area p/a pratica de esportes e atletismo;Contato com aquecedores, radiadores e tubulação - área para a prática de esportes e atletismo
10304;X16.4; Rua e estrada;Contato com aquecedores, radiadores e tubulação - rua e estrada
10305;X16.5; Areas de comercio e de servicos;Contato com aquecedores, radiadores e tubulação - áreas de comércio e de serviços
10306;X16.6; Areas industriais e em construcao;Contato com aquecedores, radiadores e tubulação - áreas industriais e em construção
10307;X16.7; Fazenda;Contato com aquecedores, radiadores e tubulação - fazenda
10308;X16.8; Outr locais espec;Contato com aquecedores, radiadores e tubulação - outros locais especificados
10309;X16.9; Local NE;Contato com aquecedores, radiadores e tubulação - local não especificado
10310;X17.0; Residencia;Contato com motores, máquinas e ferramentas quentes - residência
10311;X17.1; Habitacao coletiva;Contato com motores, máquinas e ferramentas quentes - habitação coletiva
10312;X17.2; Escolas outr instit areas admin publica;Contato com motores, máquinas e ferramentas quentes - escolas, outras instituições e áreas de administração pública
10313;X17.3; Area p/a pratica de esportes e atletismo;Contato com motores, máquinas e ferramentas quentes - área para a prática de esportes e atletismo
10314;X17.4; Rua e estrada;Contato com motores, máquinas e ferramentas quentes - rua e estrada
10315;X17.5; Areas de comercio e de servicos;Contato com motores, máquinas e ferramentas quentes - áreas de comércio e de serviços
10316;X17.6; Areas industriais e em construcao;Contato com motores, máquinas e ferramentas quentes - áreas industriais e em construção
10317;X17.7; Fazenda;Contato com motores, máquinas e ferramentas quentes - fazenda
10318;X17.8; Outr locais espec;Contato com motores, máquinas e ferramentas quentes - outros locais especificados
10319;X17.9; Local NE;Contato com motores, máquinas e ferramentas quentes - local não especificado
10320;X18.0; Residencia;Contato com outros metais quentes - residência
10321;X18.1; Habitacao coletiva;Contato com outros metais quentes - habitação coletiva
10322;X18.2; Escolas outr instit areas admin publica;Contato com outros metais quentes - escolas, outras instituições e áreas de administração pública
10323;X18.3; Area p/a pratica de esportes e atletismo;Contato com outros metais quentes - área para a prática de esportes e atletismo
10324;X18.4; Rua e estrada;Contato com outros metais quentes - rua e estrada
10325;X18.5; Areas de comercio e de servicos;Contato com outros metais quentes - áreas de comércio e de serviços
10326;X18.6; Areas industriais e em construcao;Contato com outros metais quentes - áreas industriais e em construção
10327;X18.7; Fazenda;Contato com outros metais quentes - fazenda
10328;X18.8; Outr locais espec;Contato com outros metais quentes - outros locais especificados
10329;X18.9; Local NE;Contato com outros metais quentes - local não especificado
10330;X19.0; Residencia;Contato com outras fontes de calor ou com substâncias quentes não especificados - residência
10331;X19.1; Habitacao coletiva;Contato com outras fontes de calor ou com substâncias quentes não especificados - habitação coletiva
10332;X19.2; Escolas outr instit areas admin publica;Contato com outras fontes de calor ou com substâncias quentes não especificados - escolas, outras instituições e áreas de administração pública
10333;X19.3; Area p/a pratica de esportes e atletismo;Contato com outras fontes de calor ou com substâncias quentes não especificados - área para a prática de esportes e atletismo
10334;X19.4; Rua e estrada;Contato com outras fontes de calor ou com substâncias quentes não especificados - rua e estrada
10335;X19.5; Areas de comercio e de servicos;Contato com outras fontes de calor ou com substâncias quentes não especificados - áreas de comércio e de serviços
10336;X19.6; Areas industriais e em construcao;Contato com outras fontes de calor ou com substâncias quentes não especificados - áreas industriais e em construção
10337;X19.7; Fazenda;Contato com outras fontes de calor ou com substâncias quentes não especificados - fazenda
10338;X19.8; Outr locais espec;Contato com outras fontes de calor ou com substâncias quentes não especificados - outros locais especificados
10339;X19.9; Local NE;Contato com outras fontes de calor ou com substâncias quentes não especificados - local não especificado
10340;X20.0; Residencia;Contato com serpentes e lagartos venenosos - residência
10341;X20.1; Habitacao coletiva;Contato com serpentes e lagartos venenosos - habitação coletiva
10342;X20.2; Escolas outr instit areas admin publica;Contato com serpentes e lagartos venenosos - escolas, outras instituições e áreas de administração pública
10343;X20.3; Area p/a pratica de esportes e atletismo;Contato com serpentes e lagartos venenosos - área para a prática de esportes e atletismo
10344;X20.4; Rua e estrada;Contato com serpentes e lagartos venenosos - rua e estrada
10345;X20.5; Areas de comercio e de servicos;Contato com serpentes e lagartos venenosos - áreas de comércio e de serviços
